subzone,popmale,popfemale,poptotal
HOUGANG WEST,22410,23050,45460
INSTITUTION HILL,1500,1650,3150
INTERNATIONAL BUSINESS PARK,0,0,0
ISTANA NEGARA,0,0,0
JELEBU,15370,15940,31310
JOO KOON,0,0,0
JOO SENG,4030,4120,8150
JURONG GATEWAY,210,240,450
JURONG ISLAND AND BUKOM,0,0,0
JURONG PORT,0,0,0
JURONG RIVER,0,0,0
JURONG WEST CENTRAL,31810,31950,63760
KAKI BUKIT,18210,18940,37150
KALLANG BAHRU,0,0,0
KALLANG WAY,0,0,0
KAMPONG BUGIS,460,460,920
KAMPONG GLAM,80,40,120
KAMPONG JAVA,5140,5390,10530
KAMPONG TIONG BAHRU,4440,4560,9000
KAMPONG UBI,5890,5910,11800
KANGKAR,15740,16540,32280
KATONG,4440,4910,9350
KEAT HONG,19010,19170,38180
KEBUN BAHRU,10660,11970,22630
KEMBANGAN,18460,19010,37470
KENT RIDGE,0,0,0
KHATIB,4980,5270,10250
KIAN TECK,0,0,0
KIM KEAT,3840,4130,7970
KOVAN,11960,12840,24800
KRANJI,0,0,0
LAKESIDE (BUSINESS),0,0,0
LAKESIDE (LEISURE),570,500,1070
LAVENDER,5070,4610,9680
LEEDON PARK,2960,3480,6440
LEONIE HILL,1430,1690,3120
LIM CHU KANG,60,50,110
LITTLE INDIA,1680,1580,3260
LIU FANG,0,0,0
LORONG 8 TOA PAYOH,3420,3730,7150
LORONG AH SOO,15270,17050,32320
LORONG CHUAN,4090,4400,8490
LORONG HALUS,0,0,0
LORONG HALUS NORTH,0,0,0
LOWER SELETAR,9240,9420,18660
LOYANG EAST,1060,1080,2140
LOYANG WEST,100,120,220
MACKENZIE,60,50,110
MACPHERSON,14070,14300,28370
MALCOLM,1380,1570,2950
MANDAI EAST,0,0,0
MANDAI ESTATE,990,1100,2090
MANDAI WEST,0,0,0
MARGARET DRIVE,7710,8380,16090
MARINA CENTRE,0,0,0
MARINA EAST,0,0,0
MARINA EAST (MP),0,0,0
MARINA SOUTH,0,0,0
MARINE PARADE,12530,14350,26880
MARITIME SQUARE,1770,1850,3620
MARYMOUNT,14680,14940,29620
MATILDA,25610,26590,52200
MAXWELL,0,0,0
MEI CHIN,7350,8210,15560
MIDVIEW,17660,17610,35270
MONK'S HILL,520,510,1030
MOULMEIN,4720,4580,9300
MOUNT EMILY,770,860,1630
MOUNT PLEASANT,350,340,690
MOUNTBATTEN,4720,5260,9980
MURAI,290,350,640
NASSIM,4410,5110,9520
NATIONAL UNIVERSITY OF S'PORE,70,170,240
NATURE RESERVE,1810,2040,3850
NEE SOON,440,450,890
NEWTON CIRCUS,140,110,250
NICOLL,150,140,290
NORTH COAST,6130,5970,12100
NORTH0EASTERN ISLANDS,0,0,0
NORTHLAND,13930,14070,28000
NORTHSHORE,230,220,450
ONE NORTH,350,370,720
ONE TREE HILL,910,1150,2060
ORANGE GROVE,840,950,1790
OXLEY,670,820,1490
PANDAN,0,0,0
PANG SUA,0,0,0
PARK,0,0,0
PASIR PANJANG 1,2200,2300,4500
PASIR PANJANG 2,1490,1570,3060
PASIR RIS CENTRAL,15750,16490,32240
PASIR RIS DRIVE,26940,27480,54420
PASIR RIS PARK,3760,3860,7620
PASIR RIS WAFER FAB PARK,0,0,0
PASIR RIS WEST,17720,18070,35790
PATERSON,110,130,240
PAYA LEBAR EAST,0,0,0
PAYA LEBAR NORTH,0,0,0
PAYA LEBAR WEST,0,0,0
PEARL'S HILL,3370,2750,6120
PEI CHUN,4940,5420,10360
PENG SIANG,17340,17390,34730
PENJURU CRESCENT,0,0,0
PEOPLE'S PARK,140,160,300
PHILLIP,0,0,0
PIONEER SECTOR,0,0,0
PLAB,0,0,0
PLANTATION,0,0,0
PORT,60,60,120
POTONG PASIR,5660,6060,11720
PULAU PUNGGOL BARAT,0,0,0
PULAU PUNGGOL TIMOR,0,0,0
PULAU SELETAR,0,0,0
PUNGGOL CANAL,0,0,0
PUNGGOL FIELD,24120,24840,48960
PUNGGOL TOWN CENTRE,10920,11340,22260
QUEENSWAY,130,140,270
RAFFLES PLACE,0,0,0
REDHILL,5150,5470,10620
RESERVOIR VIEW,0,0,0
RIDOUT,690,830,1520
RIVERVALE,29460,30230,59690
ROBERTSON QUAY,1390,1610,3000
ROCHOR CANAL,0,0,0
SAFTI,0,0,0
SAMULUN,0,0,0
SAUJANA,12830,13090,25920
SELEGIE,110,100,210
SELETAR,130,150,280
SELETAR AEROSPACE PARK,0,0,0
SELETAR HILLS,7250,7460,14710
SEMAKAU,0,0,0
SEMBAWANG CENTRAL,17060,17740,34800
SEMBAWANG EAST,8550,8790,17340
SEMBAWANG HILLS,3210,3650,6860
SEMBAWANG NORTH,12750,12790,25540
SEMBAWANG SPRINGS,4480,4610,9090
SEMBAWANG STRAITS,980,930,1910
SENGKANG TOWN CENTRE,30290,31500,61790
SENGKANG WEST,0,0,0
SENJA,9920,10260,20180
SENNETT,3480,3720,7200
SENOKO NORTH,0,0,0
SENOKO SOUTH,0,0,0
SENOKO WEST,0,0,0
SENTOSA,920,1020,1940
SERANGOON CENTRAL,11800,12960,24760
SERANGOON GARDEN,17220,18860,36080
SERANGOON NORTH,7840,8100,15940
SERANGOON NORTH IND ESTATE,0,0,0
SHANGRI0LA,7780,8180,15960
SHIPYARD,0,0,0
SIGLAP,2980,3460,6440
SIMEI,19050,20400,39450
SIMPANG NORTH,0,0,0
SIMPANG SOUTH,0,0,0
SINGAPORE GENERAL HOSPITAL,0,0,0
SINGAPORE POLYTECHNIC,0,0,0
SOMERSET,60,80,140
SOUTHERN GROUP,0,0,0
SPRINGLEAF,2180,2190,4370
STRAITS VIEW,0,0,0
SUDONG,0,0,0
SUNGEI ROAD,1020,1030,2050
SUNSET WAY,2640,3010,5650
SWISS CLUB,2470,2880,5350
TAGORE,3790,4160,7950
TAI SENG,6670,7160,13830
TAMAN JURONG,19920,20000,39920
TAMPINES EAST,63960,67010,130970
TAMPINES NORTH,3950,4090,8040
TAMPINES WEST,39150,40510,79660
TANGLIN,170,210,380
TANGLIN HALT,4960,5630,10590
TANJONG IRAU,0,0,0
TANJONG PAGAR,350,320,670
TANJONG RHU,5230,5880,11110
TEBAN GARDENS,9250,9280,18530
TECK WHYE,12190,12140,24330
TELOK BLANGAH DRIVE,9170,10140,19310
TELOK BLANGAH RISE,5740,6420,12160
TELOK BLANGAH WAY,4610,4620,9230
TENGAH INDUSTRIAL ESTATE,0,0,0
TENGEH,0,0,0
THE WHARVES,0,0,0
TIONG BAHRU,5990,6900,12890
TIONG BAHRU STATION,7140,7980,15120
TOA PAYOH CENTRAL,12960,15070,28030
TOA PAYOH WEST,6570,7780,14350
TOH GUAN,7230,7360,14590
TOH TUCK,0,0,0
TOWNSVILLE,9930,11210,21140
TRAFALGAR,24950,24240,49190
TUAS BAY,0,0,0
TUAS NORTH,0,0,0
TUAS PROMENADE,0,0,0
TUAS VIEW,0,0,0
TUAS VIEW EXTENSION,0,0,0
TUKANG,0,0,0
TURF CLUB,330,340,670
TYERSALL,1810,2070,3880
ULU PANDAN,5280,5740,11020
UPPER PAYA LEBAR,8160,8760,16920
UPPER THOMSON,14160,15230,29390
VICTORIA,840,920,1760
WATERWAY EAST,25050,25530,50580
WENYA,4170,4110,8280
WEST COAST,3370,3500,6870
WOODGROVE,16870,16920,33790
WOODLANDS EAST,49490,49500,98990
WOODLANDS REGIONAL CENTRE,0,0,0
WOODLANDS SOUTH,20540,20470,41010
WOODLANDS WEST,17260,16650,33910
WOODLEIGH,1200,1260,2460
XILIN,890,880,1770
YEW TEE,20100,20280,40380
YIO CHU KANG,0,0,0
YIO CHU KANG EAST,2090,2120,4210
YIO CHU KANG NORTH,0,0,0
YIO CHU KANG WEST,11520,12630,24150
YISHUN CENTRAL,1290,1340,2630
YISHUN EAST,30030,30640,60670
YISHUN SOUTH,20670,21580,42250
YISHUN WEST,26720,27190,53910
YUHUA EAST,12120,12650,24770
YUHUA WEST,9530,9630,19160
YUNNAN,34250,33250,67500
